'Orange';'Oak Grove';'Malden Center';2
'Orange';'Malden Center';'Wellington';3
'Orange';'Wellington';'Sullivan Square';3
'Orange';'Sullivan Square';'Community College';2
'Orange';'Community College';'North Station';2
'Orange';'North Station';'Haymarket';1
'Orange';'Haymarket';'State';2
'Orange';'State';'Downtown Crossing';2
'Orange';'Downtown Crossing';'Chinatown';2
'Orange';'Chinatown';'Tufts Medical Center';1.5
'Orange';'Tufts Medical Center';'Back Bay';2
'Orange';'Back Bay';'Mass Ave';2.5
'Orange';'Mass Ave';'Ruggles';2
'Orange';'Ruggles';'Roxbury Crossing';2
'Orange';'Roxbury Crossing';'Jackson Square';2
'Orange';'Jackson Square';'Stony Brook';1
'Orange';'Stony Brook';'Green';2
'Orange';'Green';'Forest Hills';2

'Red';'Alewife';'Davis';3.5
'Red';'Davis';'Porter';2.5
'Red';'Porter';'Harvard';3
'Red';'Harvard';'Central';3.5
'Red';'Central';'Kendall/MIT';2.5
'Red';'Kendall/MIT';'Charles/MGH';2.5
'Red';'Charles/MGH';'Park Street';3
'Red';'Park Street';'Downtown Crossing';2
'Red';'Downtown Crossing';'South Station';2.5
'Red';'South Station';'Broadway';3
'Red';'Broadway';'Andrew';2.5
'Red';'Andrew';'JFK/UMass';2.5
'Red';'JFK/UMass';'Savin Hill';2
'Red';'Savin Hill';'Fields Corner';3
'Red';'Fields Corner';'Shawmut';2
'Red';'Shawmut';'Ashmont/Peabody Sq.';2.5
'Red';'JFK/UMass';'North Quincy';7
'Red';'North Quincy;'Wollaston';2.5
'Red';'Wollaston';'Quincy Center';3
'Red';'Quincy Center';'Quincy Adams';3.5
'Red';'Quincy Adams';'Braintree';4

'Blue';'Bowdoin';'Government Center';2
'Blue';'Government Center';'State';2
'Blue';'State';'Aquarium';2
'Blue';'Aquarium';'Maverick';2.5
'Blue';'Maverick';'Airport';2
'Blue';'Airport';'Wood Island';2
'Blue';'Wood Island';'Orient Heights';2
'Blue';'Orient Heights';'Suffolk Downs';2
'Blue';'Suffolk Downs';'Beachmont';2
'Blue';'Beachmont';'Revere Beach;2
'Blue';'Revere Beach';'Wonderland;2

'Lechmere';'Science Park'
'Science Park';'North Station'
'North Station';'Haymarket'
'Haymarket';'Government Center'
'Government Center';'Park Street'
'Park Street';'Boylston Street'
'Boylston Street';'Arlington'
'Arlington';'Copley'
'Copley';'Prudential'
'Prudential';'Symphony'
'Symphony';'Northeastern'
'Northeastern';'Museum of Fine Arts'
'Museum of Fine Arts';1683
'Longwood Medical';3813
'Brigham Cirle';2547
'Fenwood Road';221
'Mission Park';548
'Riverway';495
'Back of the Hill';35
'Heath St.';820
'Hynes Convention Center';8946
'Kenmore';9503
'Fenway';3488
'Longwood';2719
'Brookline Village';3230
'Brookline Hills';1225
'Beaconsfield';1075
'Reservoir';3404
'Chestnut Hill';1416
'Newton Centre';1891
'Newton Highlands';1627
'Eliot';814
'Waban';545
'Woodland';957
'Riverside Terminal';2241
'St. Marys Street';1532
'Hawes Street';339
'Kent Street';386
'Saint Paul Street';849
'Coolidge Corner';3440
'Summit Ave';945
'Brandon Hall';356
'Fairbanks Street';444
'Washington Square';1091
'Tappan Street';674
'Dean Road';398
'Englewood Ave';555
'Cleveland Circle';1457
'Blanford Street';1540
'Boston University East';1747
'Boston University Central';2194
'Boston University West';704
'St. Paul Street';1296
'Pleasant Steet';1167
'Babcock Street';1387
'Packards Corner';2654
'Harvard Ave';3602
'Griggs Street';1203
'Allston Street';1437
'Warren Street';2047
'Washington Street';1885
'Sutherland Road';856
'Chiswick Road';615
'Chestnut Hill Ave';626
'South Street';214
'Boston College';1136
